"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-28"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 울산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"21","울산광역시 남구 신정동","318","0318","0000","울산신정푸르지오","99.8574","202512","25","75,000","-","25","개인","개인","2012","팔등로 85","-","중개거래","울산 남구","-"
"22","울산광역시 남구 야음동","789-105","0789","0105","쌍용스윗닷홈","75.5480","202512","24","54,600","-","3","개인","개인","2004","야음로 33","20251226","중개거래","울산 남구","-"
"23","울산광역시 동구 방어동","59-1","0059","0001","대왕암엘크루","74.7000","202512","24","30,700","-","23","개인","개인","2014","등대4길 26","-","중개거래","울산 동구","-"
"24","울산광역시 동구 전하동","449-6","0449","0006","전하동정림명가의아침","84.4516","202512","24","22,200","-","15","개인","개인","2012","방어진순환도로 815","-","중개거래","울산 동구","-"
"25","울산광역시 남구 신정동","1853","1853","0000","신성미소지움2단지","84.9500","202512","24","52,700","-","4","개인","개인","2007","대암로 26","-","중개거래","울산 남구","-"
"26","울산광역시 남구 야음동","796-17","0796","0017","신선","46.5300","202512","24","11,800","-","4","개인","개인","1995","야음로 8","-","중개거래","울산 남구","-"
"27","울산광역시 동구 전하동","625-6","0625","0006","처용빌라트A","84.9600","202512","24","15,000","-","4","개인","개인","2000","진성1길 31","-","중개거래","울산 동구","-"
"28","울산광역시 남구 신정동","1853","1853","0000","신성미소지움2단지","59.9700","202512","24","42,900","-","4","개인","개인","2007","대암로 26","-","중개거래","울산 남구","-"
"29","울산광역시 남구 달동","1352-5","1352","0005","달동현대1","71.6700","202512","24","31,800","-","13","개인","개인","1990","삼산중로 83","-","중개거래","울산 남구","-"
"30","울산광역시 남구 옥동","129-6","0129","0006","대공원현대","84.8250","202512","24","52,500","-","6","개인","개인","1992","대공원로115번길 10","-","중개거래","울산 남구","-"
"31","울산광역시 중구 장현동","191","0191","0000","에일린의뜰2차아파트","84.8207","202512","24","45,800","-","9","개인","개인","2013","종가로 730","-","중개거래","울산 중구","-"
"32","울산광역시 중구 태화동","123-7","0123","0007","새운임대","42.8400","202512","24","13,400","-","6","개인","개인","1985","신기11길 8","-","직거래","-","-"
"33","울산광역시 북구 매곡동","864","0864","0000","월드메르디앙월드시티","84.8997","202512","24","38,500","-","23","개인","개인","2011","매산로 66","-","중개거래","울산 북구","-"
"34","울산광역시 북구 중산동","1317-1","1317","0001","U-스타시티일동미라주더스타3단지","84.8963","202512","24","37,000","-","13","개인","개인","2019","중산로 45","-","중개거래","울산 북구","-"
"35","울산광역시 북구 염포동","326","0326","0000","염포성원상떼빌","84.6900","202512","24","22,000","-","5","개인","개인","2004","염포로 685","-","중개거래","울산 남구","-"
"36","울산광역시 북구 화봉동","452","0452","0000","동아.청구아파트","85.0000","202512","24","30,000","-","3","개인","개인","1994","상방로 81","-","중개거래","울산 북구","-"
"37","울산광역시 울주군 범서읍 천상리","605","0605","0000","천상국태그린빌","49.9360","202512","24","10,800","-","6","개인","개인","2001","천상4길 4","-","중개거래","울산 울주군","-"
"38","울산광역시 울주군 범서읍 천상리","299-1","0299","0001","천상동아","84.9000","202512","24","18,800","-","3","개인","개인","1998","대동길 34","-","중개거래","울산 울주군","-"
"39","울산광역시 울주군 범서읍 구영리","799-5","0799","0005","범서현대3차","58.0500","202512","23","12,300","-","5","개인","개인","1993","점촌4길 65","-","중개거래","울산 울주군","-"
"40","울산광역시 울주군 범서읍 구영리","204-1","0204","0001","구영1차우미린","123.5365","202512","23","63,000","-","19","개인","개인","2007","구영로 75-9","-","중개거래","울산 울주군","-"
"41","울산광역시 울주군 온산읍 덕신리","184-1","0184","0001","가화파티오","84.5580","202512","23","28,000","-","2","개인","개인","2008","영남길 26","-","중개거래","울산 울주군, 울산 중구","-"
"42","울산광역시 북구 매곡동","532","0532","0000","매곡현대아파트(101~106동)","49.8050","202512","23","9,200","-","5","개인","개인","1994","매곡1로 13","-","직거래","-","-"
"43","울산광역시 북구 매곡동","422-2","0422","0002","현대파크맨션","71.1300","202512","23","15,500","-","7","개인","개인","1996","신기3길 19-6","-","중개거래","울산 북구","-"
"44","울산광역시 울주군 온양읍 대안리","196","0196","0000","울산온양대우","59.9500","202512","23","11,900","-","3","개인","개인","1998","솔밭1길 12","-","중개거래","울산 울주군","-"
"45","울산광역시 북구 매곡동","966","0966","0000","매곡에듀파크에일린의뜰","84.9939","202512","23","44,000","-","15","개인","개인","2021","신천로 103","-","중개거래","울산 북구","-"
"46","울산광역시 울주군 범서읍 천상리","645","0645","0000","디아채","110.3700","202512","23","24,700","-","18","개인","개인","1997","천상2길 16","-","중개거래","울산 울주군","-"
"47","울산광역시 울주군 언양읍 서부리","411","0411","0000","서울산한신휴플러스","69.9926","202512","23","27,100","-","5","개인","개인","2013","웃방천1길 48","-","중개거래","울산 울주군","-"
"48","울산광역시 울주군 범서읍 천상리","666-1","0666","0001","벽산","59.9250","202512","23","13,300","-","12","개인","개인","1999","천상길 55","-","중개거래","울산 울주군","-"
"49","울산광역시 북구 천곡동","418","0418","0000","삼성코아루","59.9890","202512","23","19,450","-","3","개인","개인","2005","천곡남로 37","-","중개거래","울산 북구","-"
"50","울산광역시 북구 송정동","1237-2","1237","0002","울산송정반도유보라아이비파크","84.9456","202512","23","64,500","-","10","개인","개인","2019","화산로 104","-","중개거래","울산 북구, 울산 중구","-"
"51","울산광역시 북구 신천동","358-9","0358","0009","협성노블리스","77.5500","202512","23","22,400","-","15","개인","개인","2003","호계로 309-20","-","중개거래","울산 북구","-"
"52","울산광역시 북구 정자동","3","0003","0000","벽산블루밍","84.9600","202512","23","20,000","-","4","개인","개인","1993","동해안로 1502","-","직거래","-","25.12.23"
"53","울산광역시 울주군 웅촌면 대복리","302","0302","0000","한솔그린빌","49.9300","202512","23","7,500","-","6","개인","개인","1997","삼동로 1617","-","중개거래","울산 울주군","-"
"54","울산광역시 울주군 상북면 천전리","532-19","0532","0019","경동청구타운","59.7300","202512","23","7,700","-","13","개인","개인","1992","남천로 247","-","중개거래","울산 울주군","-"
"55","울산광역시 울주군 범서읍 구영리","798-1","0798","0001","구영현대아이파크","70.5300","202512","23","17,900","-","10","개인","개인","1991","점촌4길 43","-","중개거래","울산 울주군","-"
"56","울산광역시 남구 삼산동","1605-3","1605","0003","현대문화1차","59.7600","202512","23","16,500","-","13","개인","개인","1996","화합로102번길 10","-","직거래","-","-"
"57","울산광역시 동구 서부동","453-1","0453","0001","상일맑은날","69.2709","202512","23","19,800","-","5","개인","개인","2007","남목8길 10","-","중개거래","울산 동구","-"
"58","울산광역시 중구 학성동","469-8","0469","0008","드림캐슬","84.4946","202512","23","28,000","-","12","개인","개인","2018","옥교3길 122","-","중개거래","울산 남구","-"
"59","울산광역시 남구 야음동","594-37","0594","0037","신정현대홈타운1","40.8000","202512","23","17,900","-","9","개인","개인","1999","대암로 81","-","중개거래","울산 남구","-"
"60","울산광역시 남구 삼산동","172-1","0172","0001","세양청구마을","84.9900","202512","23","34,800","-","17","개인","개인","1997","돋질로401번길 12","-","중개거래","울산 남구, 울산 중구","-"
"61","울산광역시 남구 신정동","1824-3","1824","0003","올림푸스","55.4700","202512","23","22,000","2","2","개인","개인","1986","수암로22번길 15","-","중개거래","울산 남구","25.12.23"
"62","울산광역시 동구 서부동","238-27","0238","0027","현대패밀리명덕2","59.9800","202512","23","12,300","-","8","개인","개인","1995","명덕로 70","-","중개거래","울산 동구, 울산 중구","-"
"63","울산광역시 동구 화정동","949","0949","0000","힐스테이트 이스턴베이","68.9187","202512","23","34,000","-","19","개인","개인","2015","화진길 100","-","중개거래","울산 동구","-"
"64","울산광역시 동구 전하동","660-2","0660","0002","울산전하푸르지오2단지","103.1846","202512","22","42,400","-","10","개인","개인","2011","봉수로 250","-","중개거래","울산 동구","-"
"65","울산광역시 남구 삼산동","183-1","0183","0001","삼산리버뷰웰가","55.5478","202512","22","35,500","-","5","개인","개인","2017","정동로 142","-","중개거래","울산 남구","-"
"66","울산광역시 남구 야음동","594-37","0594","0037","신정현대홈타운1","59.9700","202512","22","35,800","-","21","개인","개인","1999","대암로 81","-","중개거래","울산 남구","-"
"67","울산광역시 남구 선암동","180-236","0180","0236","삼호","34.2000","202512","22","5,500","-","3","개인","법인","1987","산업로303번길 35","-","직거래","-","-"
"68","울산광역시 중구 반구동","679","0679","0000","e편한세상강변","84.9634","202512","22","54,750","-","3","개인","개인","2015","반구로 55","-","중개거래","울산 중구","-"
"69","울산광역시 남구 신정동","851-20","0851","0020","신정현대홈타운4","40.8000","202512","22","18,450","-","24","개인","개인","2001","대암로 51","-","중개거래","울산 남구","-"
"70","울산광역시 중구 학성동","345-1","0345","0001","창조애드웰","83.8280","202512","22","34,700","-","13","개인","개인","2016","구교로 87","-","중개거래","울산 중구","-"
"71","울산광역시 중구 유곡동","69","0069","0000","울산유곡푸르지오","84.9761","202512","22","60,500","-","3","개인","개인","2010","평동3길 1","-","중개거래","울산 중구","-"
"72","울산광역시 남구 신정동","1656-1","1656","0001","올림푸스골든(1656-1)","84.8150","202512","22","47,000","-","8","개인","개인","1988","대공원로 198","-","중개거래","울산 남구","-"
"73","울산광역시 남구 신정동","851-20","0851","0020","신정현대홈타운4","59.9700","202512","22","34,500","-","19","개인","개인","2001","대암로 51","-","중개거래","울산 남구","-"
"74","울산광역시 남구 달동","1364-1","1364","0001","울산센트럴자이","84.5050","202512","22","53,000","-","21","개인","개인","2015","삼산로 231","-","중개거래","울산 남구","-"
"75","울산광역시 울주군 온양읍 대안리","542","0542","0000","대안IPARK","59.9250","202512","22","13,650","107","6","개인","개인","1993","남창강변로 102","-","중개거래","울산 울주군","25.12.23"
"76","울산광역시 울주군 상북면 천전리","532-19","0532","0019","경동청구타운","61.9350","202512","22","7,200","-","6","개인","개인","1992","남천로 247","-","중개거래","울산 울주군","-"
"77","울산광역시 울주군 온양읍 대안리","419","0419","0000","상아비취","77.1900","202512","22","10,000","-","10","개인","개인","1993","연안8길 44-7","-","직거래","-","25.12.23"
"78","울산광역시 북구 중산동","1010-1","1010","0001","약수제일","80.7500","202512","22","7,700","-","12","개인","개인","1992","약수9길 20","-","중개거래","울산 북구","-"
"79","울산광역시 북구 신천동","317-5","0317","0005","문화청솔","59.5700","202512","22","10,300","-","5","개인","개인","1994","호계로 327-8","-","중개거래","울산 북구","-"
"80","울산광역시 울주군 삼남읍 신화리","1609","1609","0000","KTX울산역금아드림팰리스","72.4100","202512","22","31,000","-","5","개인","개인","2018","도호1길 39-11","-","중개거래","울산 울주군","-"
"81","울산광역시 북구 매곡동","895","0895","0000","드림인시티에일린의뜰2차","71.8830","202512","22","42,700","-","18","개인","개인","2017","호계매곡1로 32","-","중개거래","울산 북구","-"
"82","울산광역시 북구 연암동","402-1","0402","0001","성원","48.7800","202512","22","12,850","-","2","개인","개인","1996","화봉로 54","-","중개거래","울산 북구","-"
"83","울산광역시 울주군 범서읍 구영리","840","0840","0000","일신파크맨션","59.6760","202512","22","10,500","-","3","개인","개인","1993","점촌4길 31","-","중개거래","울산 울주군","-"
"84","울산광역시 울주군 범서읍 구영리","870","0870","0000","현대2차","59.2050","202512","22","13,200","-","1","개인","개인","1992","구영앞길 114","-","중개거래","울산 울주군","-"
"85","울산광역시 울주군 온양읍 발리","1307","1307","0000","여울목","84.9275","202512","22","28,800","-","6","개인","개인","2012","솔밭3길 19-10","-","중개거래","울산 울주군","-"
"86","울산광역시 울주군 온양읍 발리","1307","1307","0000","여울목","84.9275","202512","22","32,500","-","15","개인","개인","2012","솔밭3길 19-10","-","중개거래","울산 울주군","-"
"87","울산광역시 북구 화봉동","1463","1463","0000","화봉쌍용예가","84.9800","202512","22","51,000","-","5","개인","개인","2014","화동로 11","-","중개거래","울산 남구, 울산 북구","-"
"88","울산광역시 울주군 청량읍 상남리","696-1","0696","0001","울산덕하신일해피트리","84.8916","202512","22","38,000","-","3","개인","개인","2019","삼정로 811","-","중개거래","울산 남구, 울산 울주군","-"
"89","울산광역시 울주군 범서읍 천상리","266","0266","0000","문수애시앙2단지","84.7800","202512","22","43,800","-","1","개인","개인","2014","대동길 21","-","중개거래","울산 울주군","-"
"90","울산광역시 울주군 범서읍 천상리","646","0646","0000","한라그린피스","83.5800","202512","22","18,300","-","12","개인","개인","1998","천상3길 20","-","중개거래","울산 울주군","-"
"91","울산광역시 울주군 상북면 궁근정리","846-14","0846","0014","진우훼밀리아","74.0400","202512","22","9,000","-","15","개인","개인","1993","신기길 26","-","직거래","-","25.12.22"
"92","울산광역시 북구 염포동","304","0304","0000","신전","53.1900","202512","22","3,900","-","5","개인","개인","1979","새장터8길 11","-","중개거래","울산 북구","-"
"93","울산광역시 북구 염포동","326","0326","0000","염포성원상떼빌","84.6900","202512","22","23,000","-","19","개인","개인","2004","염포로 685","-","직거래","-","-"
"94","울산광역시 울주군 범서읍 천상리","574-1","0574","0001","청구(천상그린타운)2차","59.8200","202512","21","9,000","-","19","개인","개인","2000","평천길 82","-","중개거래","울산 울주군","-"
"95","울산광역시 북구 매곡동","864","0864","0000","월드메르디앙월드시티","84.8997","202512","21","38,000","-","22","개인","개인","2011","매산로 66","-","중개거래","울산 북구, 울산 중구","-"
"96","울산광역시 북구 매곡동","532","0532","0000","매곡현대아파트(101~106동)","49.8050","202512","21","9,100","-","15","개인","개인","1994","매곡1로 13","-","중개거래","울산 북구","-"
"97","울산광역시 울주군 온양읍 대안리","417","0417","0000","미도파","59.7600","202512","21","12,950","-","14","개인","개인","1993","연안2길 22","-","중개거래","울산 울주군","-"
"98","울산광역시 북구 중산동","1277-1","1277","0001","울산오토밸리로Z00M파크","59.9852","202512","21","24,700","-","17","개인","개인","2016","중산서로 19","-","중개거래","울산 북구","-"
"99","울산광역시 북구 천곡동","402","0402","0000","원동현대","59.9100","202512","21","9,150","-","11","개인","개인","1994","고래로 2","-","중개거래","울산 북구","-"
"100","울산광역시 북구 신천동","430-1","0430","0001","신동","78.2800","202512","21","12,500","-","11","개인","개인","1993","호계로 371","-","중개거래","울산 북구","-"
"101","울산광역시 울주군 온산읍 덕신리","1329-4","1329","0004","덕신동백","49.8500","202512","21","8,800","-","8","개인","개인","1994","영남7길 21","-","중개거래","울산 울주군","-"
"102","울산광역시 울주군 범서읍 천상리","324-2","0324","0002","경동태원하이빌","59.9610","202512","21","12,300","-","16","개인","개인","2001","천상길 43","-","중개거래","울산 울주군","-"
"103","울산광역시 북구 송정동","1237-2","1237","0002","울산송정반도유보라아이비파크","84.9456","202512","21","68,500","-","19","개인","개인","2019","화산로 104","-","중개거래","울산 북구","-"
"104","울산광역시 남구 달동","1403-1","1403","0001","현대하이얏트","84.8455","202512","21","33,500","-","18","개인","개인","1994","신정로33번길 36","-","중개거래","울산 남구","-"
"105","울산광역시 남구 신정동","318","0318","0000","울산신정푸르지오","71.1160","202512","21","58,500","-","22","개인","개인","2012","팔등로 85","-","중개거래","울산 남구","-"
"106","울산광역시 남구 삼산동","1529-2","1529","0002","대우푸르지오","84.8612","202512","21","44,000","-","4","개인","개인","2004","돋질로339번길 35","-","중개거래","울산 남구, 울산 북구","-"
"107","울산광역시 남구 삼산동","1529-2","1529","0002","대우푸르지오","84.8612","202512","21","44,000","-","9","개인","개인","2004","돋질로339번길 35","-","중개거래","울산 남구, 울산 울주군","-"
"108","울산광역시 중구 유곡동","271-2","0271","0002","에일린의뜰3차","84.8594","202512","21","54,000","-","1","개인","개인","2014","종가로 245","-","중개거래","울산 중구","-"
"109","울산광역시 중구 다운동","620","0620","0000","다운삼성","59.5200","202512","21","19,000","-","5","개인","개인","1997","운곡3길 24","-","중개거래","울산 중구","-"
"110","울산광역시 남구 무거동","1543","1543","0000","무거한라3차","59.9500","202512","21","16,000","-","1","개인","개인","1996","신복로72번길 28-42","-","중개거래","울산 남구","-"
"111","울산광역시 남구 야음동","832-11","0832","0011","대하아크로티","84.6630","202512","21","29,000","-","8","개인","개인","2009","수암로 216","-","중개거래","울산 남구","-"
"112","울산광역시 남구 달동","1330-1","1330","0001","삼산선경","84.9750","202512","21","33,150","-","23","개인","개인","1991","돋질로 262","-","중개거래","울산 남구","-"
"113","울산광역시 남구 신정동","1918","1918","0000","울산문수로두산위브더제니스","84.8502","202512","21","77,300","-","9","개인","개인","2022","문수로 487","-","중개거래","울산 남구","-"
"114","울산광역시 남구 야음동","594-10","0594","0010","신정현대홈타운2","59.9000","202512","20","27,000","-","1","개인","개인","1999","대암로 82","-","중개거래","울산 남구","-"
"115","울산광역시 남구 신정동","1680","1680","0000","올림푸스골든(1680)","84.9500","202512","20","46,200","-","13","개인","개인","1989","대공원로 156","-","중개거래","울산 남구","-"
"116","울산광역시 북구 호계동","BL-2-1","0002","0001","호계1차한양수자인아파트","84.9940","202512","20","30,500","-","7","개인","개인","2016","호수중앙로 46","-","중개거래","울산 북구","-"
"117","울산광역시 남구 신정동","1889","1889","0000","문수로2차IPARK1단지","114.6546","202512","20","124,000","-","3","개인","개인","2013","동산로69번길 13","-","중개거래","울산 남구","-"
"118","울산광역시 동구 전하동","660-2","0660","0002","울산전하푸르지오2단지","77.2592","202512","20","41,600","-","10","개인","개인","2011","봉수로 250","-","중개거래","울산 남구","-"
"119","울산광역시 동구 전하동","301-5","0301","0005","현대3","59.4600","202512","20","16,500","-","4","개인","개인","1987","녹수13길 33","-","중개거래","울산 동구","-"
"120","울산광역시 동구 전하동","782","0782","0000","스위첸웰츠타워2단지","63.4350","202512","20","40,000","-","35","개인","개인","2023","방어진순환도로 865","-","중개거래","울산 동구","-"
"121","울산광역시 남구 옥동","257","0257","0000","옥동서광","127.0200","202512","20","85,000","-","2","개인","개인","1998","문수로314번길 11","-","중개거래","울산 남구","-"
"122","울산광역시 남구 야음동","911","0911","0000","대현더샵","84.8270","202512","20","76,000","-","8","개인","개인","2018","수암로190번길 18","-","중개거래","울산 남구","-"
"123","울산광역시 남구 신정동","1909","1909","0000","대명루첸","83.2996","202512","20","78,000","-","9","개인","개인","2016","중앙로120번길 12-8","-","중개거래","울산 남구","-"
"124","울산광역시 남구 야음동","911","0911","0000","대현더샵","68.6320","202512","20","70,400","-","2","개인","개인","2018","야음로26번길 34","-","중개거래","울산 남구","-"
"125","울산광역시 중구 약사동","1101","1101","0000","약사아이파크","59.7100","202512","20","49,500","-","5","개인","개인","2015","평산로 50","-","중개거래","울산 중구","-"
"126","울산광역시 중구 약사동","1101","1101","0000","약사아이파크","72.9800","202512","20","58,700","-","12","개인","개인","2015","평산로 50","-","중개거래","울산 중구","-"
"127","울산광역시 중구 약사동","1101","1101","0000","약사아이파크","59.7100","202512","20","50,800","-","12","개인","개인","2015","평산로 50","20251223","중개거래","울산 남구, 울산 중구","-"
"128","울산광역시 동구 서부동","257-4","0257","0004","현대패밀리서부","49.7900","202512","20","7,900","-","7","개인","개인","1992","방어진순환도로 995","-","중개거래","울산 남구, 울산 동구","-"
"129","울산광역시 남구 삼산동","172-1","0172","0001","세양청구마을","84.9900","202512","20","36,000","-","17","개인","개인","1997","돋질로401번길 12","-","중개거래","울산 남구","-"
"130","울산광역시 중구 약사동","1101","1101","0000","약사아이파크","59.7100","202512","20","50,800","-","12","개인","개인","2015","평산로 50","-","중개거래","울산 남구, 울산 중구","-"
"131","울산광역시 중구 반구동","290-3","0290","0003","현대그랜드맨션","63.0000","202512","20","13,000","-","8","개인","개인","1993","반구정9길 20","-","중개거래","울산 남구, 울산 중구","-"
"132","울산광역시 동구 화정동","949","0949","0000","힐스테이트 이스턴베이","84.9083","202512","20","41,500","-","6","개인","개인","2015","화진길 100","-","중개거래","울산 동구","-"
"133","울산광역시 남구 신정동","569-2","0569","0002","문수로드림파크","55.3933","202512","20","27,500","-","18","개인","개인","2022","월평로21번길 28","-","중개거래","울산 남구","-"
"134","울산광역시 남구 달동","1330-1","1330","0001","삼산선경","84.9750","202512","20","32,000","-","6","개인","개인","1991","돋질로 262","-","직거래","-","-"
"135","울산광역시 남구 신정동","1656-1","1656","0001","올림푸스골든(1656-1)","84.7600","202512","20","42,000","-","3","개인","개인","1988","대공원로 198","-","중개거래","울산 남구, 울산 중구","-"
"136","울산광역시 남구 신정동","1853","1853","0000","신성미소지움2단지","84.9400","202512","20","62,000","-","20","개인","개인","2007","대암로 26","-","중개거래","울산 남구","-"
"137","울산광역시 중구 성안동","858-1","0858","0001","성안금호타운","59.8875","202512","20","15,500","-","3","개인","개인","1998","함월5길 35","-","중개거래","울산 중구","-"
"138","울산광역시 중구 옥교동","82-1","0082","0001","태화강엑소디움","113.4100","202512","20","63,500","-","17","개인","개인","2010","강북로 123","-","중개거래","울산 중구","-"
"139","울산광역시 남구 신정동","1171-17","1171","0017","남경아델리","83.1719","202512","20","33,000","-","19","개인","개인","2014","돋질로 8","-","중개거래","울산 남구","-"
"140","울산광역시 남구 야음동","594-10","0594","0010","신정현대홈타운2","40.8000","202512","20","17,400","-","2","개인","개인","1999","대암로 82","-","중개거래","울산 남구","-"
"141","울산광역시 중구 우정동","369-1","0369","0001","선경2차","59.7400","202512","20","29,800","-","23","개인","개인","1997","유곡로 10","-","중개거래","울산 중구","-"
"142","울산광역시 울주군 언양읍 동부리","384-5","0384","0005","삼성월드빌","83.2850","202512","20","12,000","-","3","개인","개인","2003","동부1길 26-12","-","중개거래","울산 울주군","-"
"143","울산광역시 울주군 범서읍 구영리","798-1","0798","0001","구영현대아이파크","58.6200","202512","20","13,850","-","9","개인","개인","1991","점촌4길 43","-","중개거래","울산 울주군","-"
"144","울산광역시 북구 매곡동","897","0897","0000","드림인시티에일린의뜰1차","84.9044","202512","20","44,500","-","31","개인","개인","2017","호계매곡1로 31","-","중개거래","울산 북구","-"
"145","울산광역시 북구 산하동","968-1","0968","0001","울산블루마시티푸르지오","84.9328","202512","20","25,300","-","28","개인","개인","2014","강동산하5로 66","-","중개거래","울산 북구","-"
"146","울산광역시 울주군 범서읍 구영리","209-1","0209","0001","구영2차푸르지오","84.7000","202512","20","51,500","-","14","개인","개인","2007","구영로 101-7","-","중개거래","울산 울주군","-"
"147","울산광역시 울주군 범서읍 굴화리","758","0758","0000","문수산 더샵","84.7300","202512","20","53,400","-","22","개인","개인","2014","장검길 88","-","중개거래","울산 남구, 울산 울주군","-"
